year,indicator_code,indicator_name,value
2014,SL.EMP.VULN.ZS,Vulnerable Employment (% of total employment),58.7487925119881
2014,SL.EMP.WORK.ZS,Wage and Salaried Workers (% of total employment),38.6103830020695
2014,SL.IND.EMPL.ZS,Employment in Industry (% of total employment),20.5366959894489
2014,SL.SRV.EMPL.ZS,Employment in Services (% of total employment),35.0586926571988
2014,SL.TLF.TOTL.IN,"Labor Force, Total",61204476.0
2014,SL.UEM.TOTL.ZS,Unemployment Rate (%),4.417
2014,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total),31.8063072462316
2014,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total),63.4371252223876
2014,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total),4.75656753138087
2014,SP.POP.GROW,Population Growth (annual %),0.911167733810249
2014,SP.POP.TOTL,Total Population,157964929.0
2014,SP.RUR.TOTL,Rural Population,111847946.0
2014,SP.URB.TOTL,Urban Population,46116983.0
2015,NY.ADJ.NNTY.PC.CD,Adjusted Net National Income per Capita (current US$),1194.18010735624
2015,NY.GDP.PCAP.CD,GDP per Capita (current US$),1224.38647668165
2015,NY.GDP.PCAP.KD.ZG,GDP per Capita Growth (annual %),5.60449539732434
2015,SL.AGR.EMPL.ZS,Employment in Agriculture (% of total employment),43.542342342038
2015,SL.EMP.SELF.ZS,Self-employed (% of total employment),61.1461867066605
2015,SL.EMP.TOTL.SP.ZS,Employment to Population Ratio (%),53.972
2015,SL.EMP.VULN.ZS,Vulnerable Employment (% of total employment),57.902961981056
2015,SL.EMP.WORK.ZS,Wage and Salaried Workers (% of total employment),38.8538132933395
2015,SL.IND.EMPL.ZS,Employment in Industry (% of total employment),20.4796085575501
2015,SL.SRV.EMPL.ZS,Employment in Services (% of total employment),35.9780592358065
2015,SL.TLF.TOTL.IN,"Labor Force, Total",61920877.0
2015,SL.UEM.TOTL.ZS,Unemployment Rate (%),4.397
2015,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total),31.1823407663365
2015,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total),63.9150578117155
2015,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total),4.90260142194805
2015,SP.POP.GROW,Population Growth (annual %),0.89381937776758
2015,SP.POP.TOTL,Total Population,159383179.0
2015,SP.RUR.TOTL,Rural Population,112302169.0
2015,SP.URB.TOTL,Urban Population,47081010.0
2016,NY.ADJ.NNTY.PC.CD,Adjusted Net National Income per Capita (current US$),1580.77341984739
2016,NY.GDP.PCAP.CD,GDP per Capita (current US$),1649.28380858601
2016,NY.GDP.PCAP.KD.ZG,GDP per Capita Growth (annual %),6.16181560014782
2016,SI.POV.GINI,GINI Index (World Bank estimate),32.4
2016,SL.AGR.EMPL.ZS,Employment in Agriculture (% of total employment),42.6647464152912
2016,SL.EMP.SELF.ZS,Self-employed (% of total employment),60.9023559488776
2016,SL.EMP.TOTL.SP.ZS,Employment to Population Ratio (%),53.65
2016,SL.EMP.VULN.ZS,Vulnerable Employment (% of total employment),57.0356746745533
2016,SL.EMP.WORK.ZS,Wage and Salaried Workers (% of total employment),39.0976407124836
2016,SL.IND.EMPL.ZS,Employment in Industry (% of total employment),20.4595245408049
2016,SL.SRV.EMPL.ZS,Employment in Services (% of total employment),36.8757190279881
2016,SL.TLF.TOTL.IN,"Labor Force, Total",62629015.0
2016,SL.UEM.TOTL.ZS,Unemployment Rate (%),4.35
2016,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total),30.5660498794143
2016,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total),64.3617117778247
2016,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total),5.07223834276104
2016,SP.POP.GROW,Population Growth (annual %),0.892432416039535
2016,SP.POP.TOTL,Total Population,160811932.0
2016,SP.RUR.TOTL,Rural Population,112768738.0
2016,SP.URB.TOTL,Urban Population,48043194.0
2017,NY.ADJ.NNTY.PC.CD,Adjusted Net National Income per Capita (current US$),1712.10431001292
2017,NY.GDP.PCAP.CD,GDP per Capita (current US$),1811.08221668646
2017,NY.GDP.PCAP.KD.ZG,GDP per Capita Growth (annual %),5.68710307010265
2017,SL.AGR.EMPL.ZS,Employment in Agriculture (% of total employment),40.5973044110147
2017,SL.EMP.SELF.ZS,Self-employed (% of total employment),60.6569011830301
2017,SL.EMP.TOTL.SP.ZS,Employment to Population Ratio (%),55.778
2017,SL.EMP.VULN.ZS,Vulnerable Employment (% of total employment),56.1806275900299
2017,SL.EMP.WORK.ZS,Wage and Salaried Workers (% of total employment),39.3430972360868
2017,SL.IND.EMPL.ZS,Employment in Industry (% of total employment),20.4193241705984
2017,SL.SRV.EMPL.ZS,Employment in Services (% of total employment),38.9833714183869
2017,SL.TLF.TOTL.IN,"Labor Force, Total",66147765.0
2017,SL.UEM.TOTL.ZS,Unemployment Rate (%),4.372
2017,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total),30.0763108025382
2017,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total),64.6648001467869
2017,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total),5.25888905067487
2017,SP.POP.GROW,Population Growth (annual %),0.850917315689336
2017,SP.POP.TOTL,Total Population,162186147.0
2017,SP.RUR.TOTL,Rural Population,113203368.0
2017,SP.URB.TOTL,Urban Population,48982779.0
2018,NY.ADJ.NNTY.PC.CD,Adjusted Net National Income per Capita (current US$),1869.93574257226
2018,NY.GDP.PCAP.CD,GDP per Capita (current US$),1965.24372731467
2018,NY.GDP.PCAP.KD.ZG,GDP per Capita Growth (annual %),6.44197494702485
2018,SL.AGR.EMPL.ZS,Employment in Agriculture (% of total employment),40.7657978851531
2018,SL.EMP.SELF.ZS,Self-employed (% of total employment),60.6330406208968
2018,SL.EMP.TOTL.SP.ZS,Employment to Population Ratio (%),56.3
2018,SL.EMP.VULN.ZS,Vulnerable Employment (% of total employment),56.2930050778402
2018,SL.EMP.WORK.ZS,Wage and Salaried Workers (% of total employment),39.3669624712557
2018,SL.IND.EMPL.ZS,Employment in Industry (% of total employment),20.0532607831866
2018,SL.SRV.EMPL.ZS,Employment in Services (% of total employment),39.180939785584
2018,SL.TLF.TOTL.IN,"Labor Force, Total",67683856.0
2018,SL.UEM.TOTL.ZS,Unemployment Rate (%),4.439
2018,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total),29.7445382083272
2018,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total),64.7973177686173
2018,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total),5.45814402305543
2018,SP.POP.GROW,Population Growth (annual %),0.820955197842845
2018,SP.POP.TOTL,Total Population,163523103.0
2018,SP.RUR.TOTL,Rural Population,113619833.0
2018,SP.URB.TOTL,Urban Population,49903270.0
2019,NY.ADJ.NNTY.PC.CD,Adjusted Net National Income per Capita (current US$),2186.77189399317
2019,NY.GDP.PCAP.CD,GDP per Capita (current US$),2129.79896954606
2019,NY.GDP.PCAP.KD.ZG,GDP per Capita Growth (annual %),6.97264399779152
